area_fips,own_code,industry_code,year,qtr,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage
36117,5,72,1990,2,140,1379,1479,1479,,2322541,0,0,124
36117,5,72,1990,3,138,1483,1449,1361,,2493882,0,0,134
36117,5,72,1990,4,137,1351,1268,1264,,2142217,0,0,127
36119,5,72,1990,1,1517,18427,18635,18914,,55417248,0,0,228
36119,5,72,1990,2,1544,18752,19558,20141,,60271511,0,0,238
36119,5,72,1990,3,1539,19642,19591,19810,,60347564,0,0,236
36119,5,72,1990,4,1526,19372,19396,19467,,62387849,0,0,247
36121,5,72,1990,1,72,421,419,428,,642679,0,0,117
36121,5,72,1990,2,74,515,541,565,,805205,0,0,115
36121,5,72,1990,3,76,548,581,537,,866419,0,0,120
36121,5,72,1990,4,73,531,476,476,,788841,0,0,123
36123,5,72,1990,1,47,254,251,262,,427874,0,0,129
36123,5,72,1990,2,44,279,292,335,,516168,0,0,131
36123,5,72,1990,3,45,371,373,337,,639140,0,0,136
36123,5,72,1990,4,45,312,288,267,,585411,0,0,156
